seed,pen-cloned_ST1,pen-cloned_ST2,pen-cloned_ST4,pen-cloned_ST8,pen-cloned_ST16,kitchen-partial_ST1,kitchen-partial_ST2,kitchen-partial_ST4,kitchen-partial_ST8,kitchen-partial_ST16
0,0.2255360253649847,0.2230792463652251,0.16798997515231004,0.2402791231021849,0.06308072286696927,0.0,0.0,0.0,0.0,0.25
1,0.347623442918351,0.47214838341112675,3.943977211183354,1.0159805452944004,20.123773119691677,0.0,0.0,0.25,0.25,0.5
2,0.5219907335115402,0.22817208575145875,18.97275343344417,16.55481533554758,19.62816351534784,0.0,0.0,0.25,0.25,0.75
3,-0.2109636763359525,-0.13772346116047504,-0.12218398519198642,0.012641289905214957,0.26915722516545854,0.25,0.0,0.25,0.25,0.5
4,3.515565498758412,19.850625167620056,19.961344797440567,19.777242269138295,0.010628616297628672,0.0,0.0,0.0,0.75,0.25
5,3.3356503097970323,0.4709195329679157,0.9408600351572095,0.15946161370390538,0.15350828011638643,0.0,0.0,0.0,0.75,0.25
6,0.21934646188360987,9.494293407442395,0.4835537977975892,0.47164188014396385,0.2304582621836508,0.0,0.0,0.0,0.5,0.25
7,0.5507233129921169,1.379460247576519,0.7372139504720189,0.20013061883184785,0.8383389781847306,0.0,0.25,0.0,0.5,0.75
8,14.611351627053038,20.18542306639891,20.135774711828883,1.1637663009068901,19.50350022245921,0.0,0.0,0.0,0.25,0.25
9,0.1287571700808578,0.2208118155521996,0.23014007767130482,0.01838210415787461,3.4957139790922995,0.0,0.0,0.25,0.25,0.25
10,-0.10931123578912137,0.1543374610149193,-0.09975528872702646,0.16201683412933673,3.655507438167186,0.0,0.0,0.25,0.25,0.75
11,10.141875763235744,0.23291963442448732,0.11921149781016249,0.1445211471246833,4.075222628828666,0.0,0.0,0.0,0.0,0.75
12,20.175547410345594,20.18458472299338,20.17401684206759,20.152601115867775,20.16567125541413,0.0,0.0,0.0,0.0,0.25
13,0.1962387326691528,3.433157219029935,0.800799815338254,3.1613010459422224,0.1615457139399771,0.0,0.0,0.0,0.25,0.5
14,3.526564160844031,19.79125580068393,0.2642866661000809,0.22559350387272528,0.23011369506786786,0.0,0.0,0.0,0.25,0.5
15,0.17488499738605984,0.2088116488518995,0.7763998728537235,0.1837156560791766,0.1895692452690756,0.0,0.25,0.25,0.25,0.75
16,18.055646554627074,3.75921215942096,3.463684849223278,3.2681228897529118,3.24696022632945,0.0,0.0,0.25,0.0,0.5
17,-0.07453204952075355,0.07868772442124228,0.15307313040486203,0.11112489273697712,19.69210269865482,0.0,0.0,0.0,0.25,0.25
18,0.33557816462762513,19.994716949299256,20.08551924850222,3.530956413299924,0.9257487474656232,0.25,0.25,0.0,0.25,0.25
19,0.3471135919088579,0.46903880411499177,0.4887603289640278,1.1194650001295086,2.084980544353837,0.25,0.0,0.0,0.25,0.0
20,0.1962818665959923,0.061564392220680594,3.932386752800381,0.8234505063107306,3.5079934005964,0.0,0.0,0.0,0.25,0.25
21,0.13091380495597976,0.04889316929042973,0.03709926789280041,0.11227570196039804,19.57342208461027,0.0,0.0,0.0,0.75,0.25
22,0.0544558275650588,0.17578135809192227,0.09393205938388038,0.06586398887697241,0.13916817822324773,0.0,0.0,0.0,0.25,0.25
23,7.474981751389909,0.10402440600969245,1.2459782150720473,19.503390637879413,19.907666745071346,0.0,0.0,0.0,0.25,0.5
24,-0.007241833387875681,0.20519727061661097,1.8577116702923984,3.4599927200341116,0.9134810814612503,0.0,0.0,0.0,0.25,0.5
25,-0.2724235136878791,0.11364051033029349,-0.15939186336568753,-0.1778393637951029,3.3392311574426046,0.0,0.0,0.25,0.5,0.5
26,0.3038161379734869,0.2606994938199177,0.22976188834642378,-0.00999593655322628,0.2043577604970663,0.0,0.0,0.25,0.5,0.75
27,0.23283254174262458,0.2446986201372414,0.23682242349808624,3.51220906383179,0.10715635729138315,0.0,0.0,0.25,0.25,0.5
28,3.492412373110881,0.2398514277134433,3.73767973800046,3.4806126850226913,0.17924924121480226,0.25,0.0,0.0,0.25,0.5
29,0.13967275399831375,1.1852516341972772,19.488214925752672,19.567496563845776,0.16978177588327462,0.0,0.0,0.0,0.25,0.75
30,0.011810363381299383,0.10266337899871893,19.403995224790314,0.009969430481293288,19.726062600215638,0.0,0.0,0.0,0.25,0.25
31,-0.21510004391732016,-0.20230565979222312,-0.17904759906113177,-0.19205582245171907,19.50339322952909,0.25,0.25,0.25,0.25,0.5
32,0.22340110158024443,0.22344466135100274,19.703236341003812,0.49304392809108954,3.2537754827435315,0.0,0.25,0.0,0.25,0.25
33,2.175403664143981,2.7454141807941688,19.746025660606843,5.16578741646884,7.302580981209172,0.0,0.0,0.25,0.25,0.25
34,19.110624081280342,6.9763993635474915,3.888411919587422,19.9359305332391,20.089593880342733,0.0,0.0,0.25,0.25,0.25
35,2.473881700524715,0.9724530122928418,3.298614892352299,0.7357931190037373,3.7840356090226277,0.0,0.0,0.0,0.25,0.5
36,-0.13285803774891533,-0.10371706165690792,-0.009915084912865668,0.06516350924751886,3.997797455349382,0.0,0.0,0.25,0.0,0.5
37,0.0774603543960233,0.120617370241447,0.11629505028163381,3.656281107881971,19.60837681472887,0.0,0.0,0.25,0.25,0.25
38,-0.03719000049098249,1.1894590206527482,0.27227974981258785,0.021987392633593592,0.22440918960875772,0.0,0.0,0.0,0.25,0.25
39,4.809563091628538,3.1536194108914968,1.2512503779852433,1.5980688519650863,0.9051261703766214,0.25,0.25,0.25,0.25,0.5
40,1.489931341814288,0.11514584799322924,7.510106718079463,19.781426124179774,19.076990374717937,0.0,0.0,0.5,0.25,0.25
41,0.09862841527074213,0.2621849713214559,0.2422547018703999,0.20130985963687503,0.5734799020737682,0.0,0.25,0.25,0.25,0.5
42,19.887849681451357,19.865940326608655,19.888263305030573,0.10403276669356121,3.484010228053154,0.0,0.0,0.0,0.25,0.25
43,0.06540073715413286,0.15091178906453012,0.09617450603783975,0.06821821223795736,3.474033360262453,0.25,0.25,0.0,0.25,0.5
44,-0.16785384557928681,-0.1483130099984287,0.2789300580202376,0.030574836548624546,0.22939831443805878,0.0,0.0,0.0,0.25,0.5
45,2.9697356350067334,1.2827456519490947,2.018849367140366,2.635058796328126,19.301716753044143,0.25,0.0,0.0,0.25,0.5
46,-0.22021354133976287,-0.18500166635400847,-0.1835306280733928,-0.16924134996780138,19.499941342742094,0.0,0.0,0.25,0.5,0.25
47,0.15201053114579868,3.7989422384383924,19.37719369870446,5.132951082373483,19.89012775085275,0.0,0.0,0.25,0.75,0.25
48,0.9976181519001449,2.1208151730374265,3.434875927600334,20.01609144760656,17.767823717909042,0.0,0.0,0.25,0.25,0.75
49,1.5903482576679009,19.912664678347742,19.80807152172955,0.8703146471217144,3.744629009593458,0.0,0.0,0.0,0.25,0.5
50,0.16667194545333014,3.610335337167306,0.24197265805364973,0.16605669025190894,0.17680669265696516,0.25,0.25,0.0,0.25,1.0
51,0.209234089480342,0.1800537047991619,0.0655375559429257,0.0330598985859028,0.057169270980329145,0.0,0.0,0.25,0.25,0.5
52,18.535778566823453,1.752968670858504,7.207224284737492,19.536105965987502,19.636310366063572,0.0,0.0,0.0,0.25,0.5
53,0.27582203921534815,-0.0844089344351358,0.03208972452353394,0.5056332680780089,0.2437322251169588,0.0,0.0,0.0,0.25,0.25
54,0.21489726810070695,0.02833229377861608,4.768256305902342,3.700507929637173,0.45224161258779494,0.0,0.0,0.0,0.25,0.5
55,0.28741530716909647,0.2673746791980846,19.794723075262468,0.3377160845917308,0.185903673351517,0.0,0.0,0.0,0.5,0.5
56,-0.2715900838958678,0.08814807337211485,0.15906606459003927,-0.01870684369312036,19.237476591305494,0.0,0.0,0.0,0.25,0.75
57,0.11613899506685248,0.13304449149806663,0.13007917904700467,0.16667826393127885,12.310552553801674,0.0,0.0,0.25,0.25,0.25
58,7.682123153012253,2.5467991055652894,20.12101256788524,4.2458457618232215,0.8471004112557655,0.0,0.0,0.25,0.25,0.75
59,20.091761751693593,20.12836499416389,0.5381740811347481,0.6841188280504515,4.941065603225754,0.25,0.0,0.25,0.0,0.25
60,0.12294559530660776,0.005574308911427295,0.13392913540623072,3.23524123480733,0.08102675002288293,0.0,0.0,0.0,0.25,0.5
61,19.801340660590952,19.66993344290631,20.094199409665027,19.911317980882604,0.9386249789129889,0.0,0.0,0.0,0.25,0.5
62,5.980205367095132,20.068511906070754,5.254109836810458,19.83274663848605,19.9863370326397,0.0,0.25,0.0,0.25,0.25
63,19.286191065476622,11.868799478423423,0.24432556054314683,19.79574251092579,0.4330197441072654,0.0,0.0,0.25,0.0,0.5
64,3.488739769626326,19.808609677820165,19.86323520084857,19.88653435255007,0.009969925127703698,0.0,0.0,0.0,0.25,0.5
65,0.14568166019221773,3.5010656118920935,19.62453656163682,1.0295733312511883,0.2677163000481842,0.25,0.0,0.25,0.0,0.75
66,0.14239571252891908,0.18530532003322728,0.34667394219711056,0.16983911526610482,18.568580292427548,0.0,0.0,0.0,0.5,0.75
67,-0.058202029072396466,-0.11517034793497562,0.007924696755466653,0.0028105908878264343,-0.17633446356886437,0.0,0.0,0.25,0.25,0.75
68,20.100163932342785,4.468400145742243,20.124130977344468,3.9981187459264573,0.6567371146862107,0.0,0.0,0.0,0.0,0.25
69,19.55589290047022,19.40332578247929,8.239771082387069,4.092911032841765,19.632179477222063,0.0,0.0,0.0,0.25,0.5
70,19.7550397659345,20.067631543125906,20.077705240225903,19.495611484787844,0.7988161375095636,0.0,0.0,0.25,0.25,0.75
71,0.08237150264925469,0.701321174665479,3.1726551183707934,0.8300474030168844,1.44840097358412,0.25,0.0,0.25,0.5,0.5
72,-0.27020708600583115,-0.27344754852854275,-0.2616064251031159,-0.268894668967915,19.41686584292156,0.0,0.0,0.25,0.25,0.25
73,3.1219708651633473,0.22597158944515447,1.2323733198840525,2.3446233173334057,1.2334738859038752,0.0,0.0,0.25,0.25,0.5
74,0.22068381314814203,19.70554505674266,19.805221837707485,19.8881815812387,14.791842739969367,0.0,0.0,0.25,0.25,0.75
75,-0.013811165452386821,-0.039928693889064254,-0.004625620572821047,0.17104842792315464,0.5934084624826036,0.0,0.25,0.25,0.25,0.5
76,0.16865542523806773,3.613094236344959,3.6492355489845285,0.23285836113736003,0.2233477490214724,0.0,0.25,0.25,0.25,0.5
77,0.1678166557151627,0.16880219486847503,19.722343572679225,19.264180763318286,3.3951495647695675,0.0,0.0,0.0,0.25,0.0
78,0.3516289697248362,0.6229779650907606,3.7212910148595455,1.1092426680298757,0.38544638402163883,0.0,0.0,0.25,0.25,0.5
79,-0.21369985338339123,-0.2176744809441494,-0.20202745275877543,-0.21140106665192362,19.39901569478436,0.0,0.0,0.25,0.5,0.5
80,-0.26491475119272473,0.08376208330250814,0.1292759303760538,0.16396526557580884,19.562368955246388,0.0,0.25,0.0,0.25,0.0
81,0.15990656010475826,-0.018539064568107288,0.12431112025193951,-0.15651095899304615,0.23871291120315496,0.0,0.0,0.25,0.25,0.25
82,0.20341126319174802,4.242429218030142,0.0031425162632383536,0.7290804878703196,-0.012414226716792426,0.0,0.0,0.0,0.25,0.25
83,-0.02896743748699266,0.06550694391763623,-0.02660631798523279,-0.12433595158205545,0.08209906033401251,0.25,0.0,0.0,0.25,0.5
84,3.329264529263596,1.5425802256891146,1.3727861390891996,3.517783568541383,0.2076622226250809,0.25,0.0,0.0,0.25,0.5
85,0.1838766582573093,0.22082323902355794,0.2133076670214582,3.1264635417314306,-0.06281772371425172,0.0,0.0,0.0,0.25,0.25
86,0.07087217752196186,0.1019338602108414,0.10528824718742792,0.11831082144210724,0.10877421832499996,0.0,0.0,0.0,0.0,0.5
87,0.7874272993875236,20.088697712758115,19.60774517038287,6.037973141251092,4.002218206994474,0.0,0.0,0.0,0.25,0.75
88,1.7482833324038731,0.1138567002373133,0.19046867888533917,0.13094974808478116,0.26361781261801825,0.0,0.0,0.0,0.25,0.25
89,20.090078450680316,20.076132266324127,9.32509602910177,5.864784531784016,20.034326329558162,0.0,0.0,0.0,0.25,0.5
90,3.6711407298707495,19.864670471007607,20.00788954217603,2.0916427708465815,1.8346007703169154,0.0,0.25,0.0,0.25,0.25
91,5.807938720233496,20.144833267167613,20.150208358756206,18.95070244019337,20.1336167916769,0.0,0.0,0.0,0.0,0.5
92,0.09678085194753179,0.11287902619474022,0.09478097201035994,-0.008048627181417717,0.2548015393491282,0.0,0.0,0.0,0.25,0.25
93,0.3312868661567712,3.470596466314419,19.87387460721653,19.70115247658487,-0.017478152884708702,0.0,0.0,0.0,0.0,0.75
94,1.081198692680629,0.7365813702524726,8.992092977786143,0.12233746424689798,4.955113893147095,0.0,0.0,0.0,0.25,0.5
95,0.7827790176051451,0.4435349327049793,0.3031874454293195,19.774079466157232,0.719910022871285,0.0,0.0,0.25,0.25,0.5
96,2.586685442200545,4.180613473059691,2.727047351319138,19.91230287265047,19.863258069788312,0.0,0.0,0.0,0.25,0.5
97,0.09366556048153724,0.14357564939265605,0.37202563407548034,3.542594045349282,7.9111402719417905,0.0,0.0,0.0,0.25,0.0
98,3.3447152420471205,2.943614126321678,3.717269119421614,0.33685758930630616,0.1766482130326244,0.0,0.0,0.0,0.0,0.25
99,15.463443387283762,1.843950434457105,3.5216314098895425,0.07494370748213827,19.993075295206214,0.0,0.0,0.0,0.25,0.75
100,0.17436016354770503,0.07714064198937981,0.07218375876125996,0.07129851236884559,18.937339124583772,0.0,0.0,0.25,0.25,0.75
101,-0.008147369009791109,17.12708854545822,0.10453067757770024,-0.17044276025182228,0.20650150591482339,0.0,0.25,0.0,0.0,0.5
102,0.23693612387394558,0.5068715900552317,0.2374497364761445,4.493160639422105,-0.009307578999505786,0.0,0.0,0.25,0.25,0.25
103,-0.1265667267318709,0.17263904602472727,0.20053694560231652,0.13635394615442248,19.451401604465914,0.0,0.25,0.25,0.25,0.25
104,0.10565836704865537,0.09641829214396112,0.07471426838479674,19.870577236297496,18.847995397029774,0.0,0.0,0.25,0.0,0.5
105,0.35211054474877745,20.13305230432459,0.23280174030269843,0.2299539496804932,1.1248276432104132,0.0,0.0,0.25,0.75,0.75
106,-0.2622401102182394,-0.2587462189608176,-0.2573309853554783,-0.2541647217433597,3.4593171981705515,0.0,0.0,0.25,0.25,0.25
107,0.14610524176088147,0.2978913797629519,0.21208513900923387,5.8625482741565245,4.3292854760122195,0.25,0.0,0.0,0.25,0.25
108,0.190091621664605,0.07130533149306231,0.06292710463910767,0.08288195161342271,18.97606009659139,0.0,0.0,0.0,0.25,0.75
109,1.7640560367365414,20.106772708192146,6.422189072191439,4.320553307755273,19.98405942225045,0.0,0.25,0.0,0.5,0.25
110,19.79602890276241,19.9249181055553,19.852613228102264,19.934347031437245,-0.06339502028422894,0.0,0.0,0.25,0.75,0.5
111,-0.13948795593721747,-0.1924687986585914,-0.10696134902935528,-0.1021348579582507,0.097353046309907,0.0,0.0,0.0,0.75,0.75
112,3.670651054266579,0.35784116204027067,0.6145753428286624,19.65718679752386,12.463014855865032,0.0,0.0,0.25,0.75,0.5
113,-0.18440154864494324,-0.2391786868080154,-0.20360463357987058,-0.06072975390555354,0.13044924237636651,0.0,0.0,0.25,0.25,0.75
114,-0.22553388183408618,-0.22008967479181468,0.1426136279294662,0.09849539615313141,19.657731319530434,0.0,0.0,0.5,0.25,0.0
115,0.19975368107411126,0.19064373843068166,0.17805982879742532,4.1135021706617945,19.91856881842386,0.0,0.0,0.0,0.25,0.25
116,19.451674095322105,4.52325196044395,19.62301493335873,0.32745840976306284,19.88649652150432,0.0,0.25,0.0,0.25,0.75
117,0.06276581675064864,0.07108313967124928,0.11122091576932386,0.21428207617565043,19.724986418538233,0.0,0.0,0.0,0.25,0.5
118,0.1920818570168281,3.530942587475656,0.2605572870654296,0.24152283144813372,0.19732381311975308,0.0,0.0,0.25,0.25,0.25
119,0.12567637821897457,0.23748483031903317,0.3477756365109074,0.2046183590651307,11.000520171067354,0.0,0.0,0.25,0.25,0.25
120,-0.2366845025209277,-0.2367359360690271,-0.2248929110377501,-0.21528846455351136,19.605986666329482,0.0,0.0,0.25,0.0,0.5
121,0.20923483997289077,0.2113683302180697,0.20028147631587231,0.18787743379183675,0.3018359052885814,0.0,0.0,0.0,0.25,0.25
122,-0.08357823783445244,-0.055914635578189924,0.1823241429645117,0.1891717386425343,19.74693857860728,0.0,0.0,0.0,0.25,0.5
123,-0.16708350985882833,0.15576901020467643,0.1469763268147179,0.1278892099259231,0.2523033495576663,0.0,0.0,0.25,0.5,0.5
124,0.15398760298349912,0.20936566392222,0.20947408195621656,0.15215471338847059,19.949674902186338,0.0,0.25,0.0,0.25,0.5
125,19.947159389354006,19.912658956003064,19.913452639734736,19.623932977833945,2.5931121410430826,0.25,0.0,0.25,0.5,0.25
126,19.99868706527106,19.9626871791896,19.97918255208354,20.173933509801557,20.169930498181888,0.0,0.0,0.25,0.5,0.25
127,-0.20540787175350053,-0.1800301211910019,-0.15914200936327003,-0.1245178131406059,0.2636598575445294,0.0,0.0,0.25,0.25,0.5
128,0.13747219900581972,0.14380958444834732,0.12673707359074807,0.1397104224493283,10.34843387258891,0.0,0.25,0.0,0.5,0.5
129,-0.11537570590244955,-0.06216519185093516,3.2547086145493513,0.038188575707313946,0.14495512637342203,0.25,0.0,0.25,0.25,0.5
130,-0.05832291273253179,-0.05341320253276961,-0.05435765490729743,-0.06447215186975433,0.002704505773100259,0.0,0.25,0.0,0.25,0.25
131,2.5513731700875057,4.9340886264120964,19.86762871692475,0.9011718345149041,19.611761906541826,0.0,0.0,0.0,0.25,0.25
132,8.531960353554307,20.09587629490801,3.0546363566307457,1.0250608294334247,0.5763369666999115,0.25,0.0,0.25,0.25,0.5
133,0.24019502312432509,19.767501045641946,19.747872817562598,19.832083593903114,0.01116360596296694,0.0,0.25,0.0,0.25,0.25
134,19.70942701477078,19.524577865785773,19.816427932616982,19.48511950390907,3.322725391991975,0.0,0.0,0.0,0.25,0.75
135,0.6483627570401476,0.16819404964322165,6.70198872327373,0.3235149461375016,3.9768436637426197,0.0,0.0,0.0,0.25,0.25
136,-0.2885693183729041,-0.06177351841895901,-0.11941007433098337,-0.10606365676573473,0.6723552532504994,0.0,0.0,0.0,0.25,0.25
137,0.24214558551136847,0.22331549385194607,0.21157047577791593,0.22813255189944945,0.22349370763638432,0.0,0.0,0.0,0.25,1.0
138,0.6760768022635019,19.626755128379003,6.301574318874853,5.254654635127976,19.97251392263082,0.0,0.0,0.0,0.25,0.75
139,19.973797283593616,19.252864746011486,19.88102613100965,10.331391341324238,2.6153077717132094,0.0,0.0,0.0,0.25,0.5
140,3.5376431173129848,19.798731993236114,1.533461882561089,19.869212384291277,19.902814575436466,0.0,0.0,0.25,0.0,0.5
141,1.7723152680267145,19.919859009894747,19.97416800967363,3.6751567366042845,0.5410331574930312,0.0,0.0,0.0,0.0,0.5
142,-0.3067814134976967,-0.2913941522892257,-0.3001955057165001,-0.1687336590033287,-0.10068875309395589,0.0,0.25,0.25,0.25,0.5
143,0.32078867738501043,0.37080422292084003,0.5649415332473519,0.25440837384488313,0.2583007786473679,0.0,0.0,0.0,0.25,0.25
144,-0.22471713309550786,-0.22518333059740994,0.15169440011832014,0.12953820423679185,19.588342338864372,0.0,0.0,0.0,0.25,0.75
145,0.24338462375088787,0.2178926219155612,0.6954956484871742,0.53745978751847,-0.035540214162245384,0.0,0.25,0.25,0.25,0.25
146,3.5361044459106084,3.4799176394044946,0.25810066473007226,-0.0621011635337131,13.008816682940745,0.0,0.0,0.0,0.25,0.5
147,0.16220386212854404,0.24338851897507224,0.21463619218314595,0.21206275805063102,3.391919963628307,0.0,0.0,0.0,0.25,0.75
148,18.464648936663384,19.466845695404945,5.792089992394343,2.2343910697921587,10.933725217450124,0.0,0.0,0.0,0.5,0.75
149,-0.17996234040682074,-0.09131619409618516,0.20013295664793762,0.1923083986480997,0.08432359851799558,0.0,0.0,0.25,0.25,0.25
Average,3.5107755124138884,5.007483454235167,5.5156856679204544,4.625966116718034,7.285995914312718,0.03,0.04,0.10666666666666667,0.27166666666666667,0.4483333333333333
StdError,0.5379746221022036,0.6464570535179918,0.6544782143715319,0.6052050605771964,0.696662263271614,0.00665547158460036,0.007508384575005098,0.010667505559853265,0.0133647560378884,0.01710224985308324
Formatted,351.1±53.8,500.7±64.6,551.6±65.4,462.6±60.5,728.6±69.7,3.0±0.7,4.0±0.8,10.7±1.1,27.2±1.3,44.8±1.7
